Job Title,Company,Platform,Skill,Language,Location,Job Description,Job Type,Salary Range
Content Writer,Company_3286,Apna,Teaching,Marathi,Madhya Pradesh,Looking for Content Writer in Madhya Pradesh with skills in Teaching.,Full-time,27870 INR/month
Data Entry Operator,Company_4582,WorkIndia,Sewing,Hindi,Bihar,Looking for Data Entry Operator in Bihar with skills in Sewing.,Part-time,28390 INR/month
NGO Worker,Company_1106,WorkIndia,Customer Support,Telugu,Maharashtra,Looking for NGO Worker in Maharashtra with skills in Customer Support.,Full-time,Negotiable
Customer Support,Company_6514,Shine,Teaching,Bengali,Madhya Pradesh,Looking for Customer Support in Madhya Pradesh with skills in Teaching.,Part-time,21763 INR/month
Delivery Boy,Company_3045,Internshala,Sewing,Telugu,Chhattisgarh,Looking for Delivery Boy in Chhattisgarh with skills in Sewing.,Full-time,28089 INR/m 
nth
Anganwadi Worker,Company_1750,Shine,Caregiving,Marathi,Bihar,Looking for Anganwadi Worker in Bihar with skills in Caregiving.,Full-time,12614 INR/month
Beautician Assistant,Company_6977,JobHai,Crafting,Punjabi,Haryana,Looking for Beautician Assistant in Haryana with skills in Crafting.,Part-time,18748 INR/month
Data Entry Operator,Company_8573,Naukri,Listening,Marathi,Rajasthan,Looking for Data Entry Operator in Rajasthan with skills in Listening.,Part-time,28250 INR/month
Beautician Assistant,Company_6168,Shine,Sewing,Marathi,Uttar Pradesh,Looking for Beautician Assistant in Uttar Pradesh with skills in Sewing.,Part-time,Negotiable
Warehouse Helper,Company_8517,Shine,Communication,Telugu,Uttarakhand,Looking for Warehouse Helper in Uttarakhand with skills in Communication.,Part-time,Negotiable
Security Guard,Company_6930,Internshala,Caregiving,Tamil,Uttarakhand,Looking for Security Guard in Uttarakhand with skills in Caregiving.,Part-time,26696 INR/month
Packing Assistant,Company_3621,JobHai,Sewing,English,Rajasthan,Looking for Packing Assistant in Rajasthan with skills in Sewing.,Full-time,12081 INR/month
Caregiver,Company_5119,WorkIndia,Cleaning,Telugu,Chhattisgarh,Looking for Caregiver in Chhattisgarh with skills in Cleaning.,Full-time,10376 INR/month
Content Writer,Company_5808,Internshala,Packing,Gujarati,Bihar,Looking for Content Writer in Bihar with skills in Packing.,Part-time,18630 INR/month
Sales Girl,Company_9317,Naukri,Call Handling,English,Maharashtra,Looking for Sales Girl in Maharashtra with skills in Call Handling.,Full-time,Negotiable
Online Tutor,Company_1319,Apna,Cleaning,Gujarati,Haryana,Looking for Online Tutor in Haryana with skills in Cleaning.,Part-time,20076 INR/month
Beautician Assistant,Company_8962,Apna,Customer Support,English,Bihar,Looking for Beautician Assistant in Bihar with skills in Customer Support.,Full-time,27455 INR/month
Telecaller,Company_9645,Naukri,Social Media Promotion,Bengali,Maharashtra,Looking for Telecaller in Maharashtra with skills in Social Media Promotion.,Full-time,16940 INR/month
